Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
905265    906647    2               197              20.4       ERR10432305
937064    937741    2               197              2.0        ERR10432305
62956     64121     1               198              2.5        ERR10432413
711101    711416    3               199              2.6        ERR10432446
830676    830700    3               199              8.5        ERR10432446
914575    914603    3               200              15.2       ERR10432572
923837    924852    1               202              1.4        ERR10437731
484513    485352    1               203              0.1        ERR10438810
923837    924852    1               203              1.4        ERR10438810
30526     31765     2               204              4.4        ERR10439023
237808    238194    2               204              4.2        ERR10439023
486802    487271    2               204              4.0        ERR10439023
487272    487308    3               204              0.6        ERR10439023
487309    487608    2               204              12.8       ERR10439023
694373    694847    2               204              9.0        ERR10439023
30526     31765     2               205              4.5        ERR10439024
484513    485352    1               207              0.1        ERR3219573
923837    924852    1               207              1.4        ERR3219573
225221    225378    1               208              9.0        ERR3219813
385111    385133    3               209              7.1        ERR3219814
750159    750699    1               209              1.4        ERR3219814
62956     64121     1               210              2.5        ERR3219906
225221    225350    1               212              4.4        ERR3219911
225469    225544    1               212              3.6        ERR3219911
484513    485352    1               212              0.1        ERR3219911
484513    485352    1               213              0.1        ERR3219913
923837    924852    1               213              1.4        ERR3219913
225221    225350    1               214              4.4        ERR3219914
225469    225544    1               214              3.6        ERR3219914
484513    485352    1               214              0.1        ERR3219914
750159    750699    1               215              1.5        ERR3219916
225221    225350    1               216              4.4        ERR3219921
225469    225544    1               216              3.6        ERR3219921
484513    485352    1               216              0.1        ERR3219921
484513    485352    1               219              0.1        ERR3219927
923837    924852    1               219              1.4        ERR3219927
140752    140861    3               220              12.7       ERR3357297
484513    485352    1               220              0.1        ERR3357297
484513    485352    1               223              0.1        ERR3357323
801055    801087    3               223              2.5        ERR3357323
810700    810714    3               225              5.6        ERR3383522
71657     71683     3               226              6.3        ERR3383523
592747    593215    3               226              13.5       ERR3383523
923837    924852    1               227              1.4        ERR4013741
13741     15676     2               228              8.0        ERR4014870
32300     33855     2               228              0.7        ERR4014870
217948    218977    2               228              0.2        ERR4014870
226168    226253    2               228              2.4        ERR4014870
310448    311283    2               228              1.1        ERR4014870
329573    330367    2               228              1.6        ERR4014870
486802    487608    2               228              19.9       ERR4014870
645565    647038    2               228              24.6       ERR4014870
694373    694919    2               228              14.3       ERR4014870
707950    708336    2               228              1.1        ERR4014870
937389    938087    2               228              4.3        ERR4014870
484513    485352    1               229              0.1        ERR4014873
923837    924852    1               229              1.4        ERR4014873
484513    485352    1               232              0.1        ERR4014983
923837    924852    1               232              1.4        ERR4014983
750159    750699    1               233              0.3        ERR4015000
225221    225350    1               235              4.4        ERR4015318
225469    225544    1               235              3.6        ERR4015318
484513    485352    1               235              0.1        ERR4015318
13725     13788     3               236              3.8        FXH-168
431088    431119    2               236              22.5       FXH-168
827392    827636    3               236              2.6        FXH-168
827637    827780    2               236              0.1        FXH-168
283592    283669    3               239              2.9        GDY8P136P
478429    478711    3               241              3.5        HAF121
923837    924852    1               241              1.4        HAF121
225221    225366    1               242              7.6        JB027
225367    225463    3               242              2.2        JB027
225464    225544    1               242              3.2        JB027
484513    485352    1               242              0.1        JB027
750152    750699    1               242              0.2        JB027
17854     17870     3               244              14.7       KACC16562
827637    827780    2               244              0.1        KACC16562
484513    485352    1               245              0.2        LK489
840941    841774    1               245              0.1        LK489
225207    225366    1               246              6.8        NCTC7292
225367    225463    3               246              2.2        NCTC7292
225464    225544    1               246              3.2        NCTC7292
484513    485352    1               246              0.1        NCTC7292
613870    614275    1               246              3.0        NCTC7292
750152    750699    1               246              0.2        NCTC7292
13021     13724     2               247              0.4        NCTC7526
13725     13788     3               247              1.3        NCTC7526
826581    826749    3               247              1.3        NCTC7526
13725     13812     3               248              2.3        NCTC7540
431088    431119    2               248              22.5       NCTC7540
827392    827636    3               248              2.7        NCTC7540
827637    827780    2               248              0.1        NCTC7540
827392    827680    3               249              5.1        NCTC7666
70637     70882     2               250              0.9        NCTC7687
70883     71227     3               250              1.9        NCTC7687
557432    558109    2               250              1.9        NCTC7687
123971    124023    3               252              4.7        NCTC7692
149745    149924    2               252              14.2       NCTC7692
101967    102298    3               253              10.0       REF_Ss_troy_2014-0902
358214    358823    1               253              0.3        REF_Ss_troy_2014-0902
478429    478711    3               253              3.5        REF_Ss_troy_2014-0902
484513    485352    1               255              0.1        SDD2
317376    317422    3               257              6.3        SNUC1435
478429    478711    3               257              3.5        SNUC1435
62956     64121     1               261              2.5        SNUC2373
489651    489788    3               261              2.1        SNUC2373
582572    582689    1               261              1.2        SNUC2373
645565    647038    1               261              4.8        SNUC2373
750152    750699    1               261              0.2        SNUC2373
583235    583259    3               263              6.7        SNUC3102
478429    478711    3               268              3.5        SNUC5300
895542    895599    3               270              5.1        SNUC5479
83763     83806     3               271              6.7        SNUC946
209096    209159    3               271              7.0        SNUC946
413580    413617    3               271              4.6        SNUC946
11945     14757     2               272              1.7        SRR10556786
30526     31597     2               272              0.8        SRR10556786
905879    906199    2               272              6.0        SRR10556786
696687    697499    2               273              2.7        SRR10583088
478429    478711    3               275              3.5        SRR11004154
484513    485352    1               276              0.1        SRR11004155
750152    750699    1               276              0.2        SRR11004155
101967    102298    3               277              10.1       SRR11004156
478429    478711    3               277              3.5        SRR11004156
225221    225366    1               278              7.6        SRR11004157
225367    225463    3               278              2.2        SRR11004157
225464    225544    1               278              3.2        SRR11004157
484513    485352    1               278              0.1        SRR11004157
750152    750699    1               278              0.2        SRR11004157
346739    347106    3               280              0.1        SRR11004159
696687    697499    2               280              2.8        SRR11004159
484513    485352    1               281              0.1        SRR11004160
923837    924852    1               281              1.4        SRR11004160
478429    478711    3               282              3.5        SRR11004161
225221    225350    1               284              4.4        SRR11004164
225469    225544    1               284              3.6        SRR11004164
484513    485352    1               284              0.1        SRR11004164
225221    225366    1               291              7.6        SRR11004171
225367    225463    3               291              2.2        SRR11004171
225464    225544    1               291              3.2        SRR11004171
484513    485352    1               291              0.1        SRR11004171
750152    750699    1               291              0.2        SRR11004171
225221    225366    1               292              7.6        SRR11004172
225367    225463    3               292              2.2        SRR11004172
225464    225544    1               292              3.2        SRR11004172
484513    485352    1               292              0.1        SRR11004172
750152    750699    1               292              0.2        SRR11004172
178088    178130    3               294              9.8        SRR11004174
225221    225366    1               296              7.6        SRR11004176
225367    225463    3               296              2.2        SRR11004176
225464    225544    1               296              3.2        SRR11004176
484513    485352    1               296              0.1        SRR11004176
750152    750699    1               296              0.2        SRR11004176
225221    225366    1               302              7.6        SRR11004182
225367    225463    3               302              2.2        SRR11004182
225464    225544    1               302              3.2        SRR11004182
484513    485352    1               302              0.1        SRR11004182
750152    750699    1               302              0.2        SRR11004182
225221    225366    1               304              7.6        SRR11004184
225367    225463    3               304              2.2        SRR11004184
225464    225544    1               304              3.2        SRR11004184
484513    485352    1               304              0.1        SRR11004184
750152    750699    1               304              0.2        SRR11004184
225221    225366    1               306              7.6        SRR11004186
225367    225463    3               306              2.2        SRR11004186
225464    225544    1               306              3.2        SRR11004186
484513    485352    1               306              0.1        SRR11004186
750152    750699    1               306              0.2        SRR11004186
225221    225366    1               312              7.6        SRR11004192
225367    225463    3               312              2.2        SRR11004192
225464    225544    1               312              3.2        SRR11004192
484513    485352    1               312              0.1        SRR11004192
750152    750699    1               312              0.2        SRR11004192
225221    225366    1               314              7.6        SRR11004194
225367    225463    3               314              2.2        SRR11004194
225464    225544    1               314              3.2        SRR11004194
484513    485352    1               314              0.1        SRR11004194
750152    750699    1               314              0.2        SRR11004194
391791    391992    3               316              3.0        SRR11004196
225221    225366    1               318              7.6        SRR11004198
225367    225463    3               318              2.2        SRR11004198
225464    225544    1               318              3.2        SRR11004198
484513    485352    1               318              0.1        SRR11004198
750152    750699    1               318              0.2        SRR11004198
478429    478711    3               319              3.5        SRR11004199
861055    861182    3               319              2.6        SRR11004199
225221    225366    1               320              7.6        SRR11004200
225367    225463    3               320              2.2        SRR11004200
225464    225544    1               320              3.2        SRR11004200
484513    485352    1               320              0.1        SRR11004200
750152    750699    1               320              0.2        SRR11004200
225221    225366    1               321              7.6        SRR11004201
225367    225463    3               321              2.2        SRR11004201
225464    225544    1               321              3.2        SRR11004201
484513    485352    1               321              0.1        SRR11004201
750152    750699    1               321              0.2        SRR11004201
225221    225366    1               322              7.6        SRR11004202
225367    225463    3               322              2.2        SRR11004202
225464    225544    1               322              3.2        SRR11004202
484513    485352    1               322              0.1        SRR11004202
750152    750699    1               322              0.2        SRR11004202
225221    225366    1               323              7.6        SRR11004203
225367    225463    3               323              2.2        SRR11004203
225464    225544    1               323              3.2        SRR11004203
484513    485352    1               323              0.1        SRR11004203
750152    750699    1               323              0.2        SRR11004203
750152    750714    1               324              0.0        SRR11004204
225221    225366    1               325              7.6        SRR11004205
225367    225463    3               325              2.2        SRR11004205
225464    225544    1               325              3.2        SRR11004205
484513    485352    1               325              0.1        SRR11004205
750152    750699    1               325              0.2        SRR11004205
225221    225366    1               326              7.6        SRR11004206
225367    225463    3               326              2.2        SRR11004206
225464    225544    1               326              3.2        SRR11004206
484513    485352    1               326              0.1        SRR11004206
750152    750699    1               326              0.2        SRR11004206
225221    225366    1               329              7.6        SRR11004209
225367    225463    3               329              2.2        SRR11004209
225464    225544    1               329              3.2        SRR11004209
484513    485352    1               329              0.1        SRR11004209
750152    750699    1               329              0.2        SRR11004209
225221    225366    1               331              7.6        SRR11004211
225367    225463    3               331              2.2        SRR11004211
225464    225544    1               331              3.2        SRR11004211
484513    485352    1               331              0.1        SRR11004211
750152    750699    1               331              0.2        SRR11004211
286713    286732    3               332              11.5       SRR11004212
613870    614275    1               332              3.0        SRR11004212
750152    750699    1               332              0.2        SRR11004212
284874    284947    3               333              39.9       SRR11004213
310448    311283    2               334              0.1        SRR11004214
387949    388339    2               334              4.2        SRR11004214
696687    697499    2               334              2.7        SRR11004214
310448    311283    2               335              0.1        SRR11004215
387949    388339    2               335              4.2        SRR11004215
696687    697499    2               335              2.7        SRR11004215
284874    284947    3               336              36.0       SRR11004216
225221    225366    1               339              7.6        SRR11004219
225367    225463    3               339              2.2        SRR11004219
225464    225544    1               339              3.2        SRR11004219
484513    485352    1               339              0.1        SRR11004219
750142    750699    1               339              0.1        SRR11004219
225221    225366    1               340              7.6        SRR11004220
225367    225463    3               340              2.2        SRR11004220
225464    225544    1               340              3.2        SRR11004220
484513    485352    1               340              0.1        SRR11004220
750142    750699    1               340              0.1        SRR11004220
225221    225366    1               342              7.6        SRR11004222
225367    225463    3               342              2.2        SRR11004222
225464    225544    1               342              3.2        SRR11004222
484513    485352    1               342              0.1        SRR11004222
750152    750699    1               342              0.2        SRR11004222
478429    478711    3               343              3.5        SRR11004223
861055    861182    3               343              2.6        SRR11004223
225221    225366    1               344              7.6        SRR11004224
225367    225463    3               344              2.2        SRR11004224
225464    225544    1               344              3.2        SRR11004224
484513    485352    1               344              0.1        SRR11004224
750152    750699    1               344              0.2        SRR11004224
225221    225366    1               347              7.6        SRR11004227
225367    225463    3               347              2.2        SRR11004227
225464    225544    1               347              3.2        SRR11004227
484513    485352    1               347              0.1        SRR11004227
750142    750699    1               347              0.1        SRR11004227
225221    225366    1               348              7.6        SRR11004228
225367    225463    3               348              2.2        SRR11004228
225464    225544    1               348              3.2        SRR11004228
484513    485352    1               348              0.1        SRR11004228
750142    750699    1               348              0.1        SRR11004228
225221    225366    1               349              7.6        SRR11004229
225367    225463    3               349              2.2        SRR11004229
225464    225544    1               349              3.2        SRR11004229
484513    485352    1               349              0.1        SRR11004229
750142    750699    1               349              0.1        SRR11004229
225221    225366    1               351              7.6        SRR11004231
225367    225463    3               351              2.2        SRR11004231
225464    225544    1               351              3.2        SRR11004231
484513    485352    1               351              0.1        SRR11004231
750142    750699    1               351              0.1        SRR11004231
225221    225366    1               354              7.6        SRR11004234
225367    225463    3               354              2.2        SRR11004234
225464    225544    1               354              3.2        SRR11004234
484513    485352    1               354              0.2        SRR11004234
225221    225366    1               355              7.6        SRR11004235
225367    225463    3               355              2.2        SRR11004235
225464    225544    1               355              3.2        SRR11004235
484513    485352    1               355              0.2        SRR11004235
750142    750699    1               356              0.1        SRR11004236
750142    750699    1               357              0.1        SRR11004237
101967    102298    3               358              10.1       SRR11004238
478429    478711    3               358              3.5        SRR11004238
780728    780762    3               358              5.1        SRR11004238
613870    614275    1               362              3.0        SRR11004243
750142    750699    1               362              0.1        SRR11004243
560455    560505    3               363              0.9        SRR11004244
225221    225366    1               365              7.6        SRR11004246
225367    225463    3               365              2.2        SRR11004246
225464    225544    1               365              3.2        SRR11004246
484513    485352    1               365              0.1        SRR11004246
750142    750699    1               365              0.1        SRR11004246
225221    225366    1               366              7.6        SRR11004247
225367    225463    3               366              2.2        SRR11004247
225464    225544    1               366              3.2        SRR11004247
484513    485352    1               366              0.1        SRR11004247
750142    750699    1               366              0.1        SRR11004247
225221    225366    1               367              7.6        SRR11004248
225367    225463    3               367              2.2        SRR11004248
225464    225544    1               367              3.2        SRR11004248
484513    485352    1               367              0.1        SRR11004248
750142    750699    1               367              0.1        SRR11004248
101967    102298    3               371              10.1       SRR11004252
478429    478711    3               371              3.5        SRR11004252
225221    225366    1               372              7.6        SRR11004253
225367    225463    3               372              2.2        SRR11004253
225464    225544    1               372              3.2        SRR11004253
484513    485352    1               372              0.1        SRR11004253
750142    750699    1               372              0.1        SRR11004253
225221    225350    1               373              4.4        SRR11004254
225469    225544    1               373              3.6        SRR11004254
484513    485352    1               373              0.1        SRR11004254
560455    560505    3               375              0.9        SRR11004256
225221    225366    1               379              7.6        SRR11004260
225367    225463    3               379              2.2        SRR11004260
225464    225544    1               379              3.2        SRR11004260
484513    485352    1               379              0.1        SRR11004260
750142    750699    1               379              0.1        SRR11004260
10366     10495     2               380              3.2        SRR11004261
13725     14503     3               380              0.2        SRR11004261
22311     23180     3               380              4.3        SRR11004261
32128     32227     3               380              0.7        SRR11004261
32228     33723     2               380              3.3        SRR11004261
42127     42188     3               380              0.6        SRR11004261
44438     45054     3               380              0.3        SRR11004261
51621     51686     3               380              0.4        SRR11004261
53346     53399     3               380              1.1        SRR11004261
56432     56465     3               380              0.2        SRR11004261
68081     68413     3               380              3.2        SRR11004261
68573     69042     3               380              5.7        SRR11004261
69644     69956     3               380              0.8        SRR11004261
101338    102360    3               380              9.0        SRR11004261
103650    103959    3               380              0.8        SRR11004261
106528    107124    2               380              0.6        SRR11004261
108487    109596    3               380              1.1        SRR11004261
136921    138354    3               380              1.3        SRR11004261
148477    150180    2               380              4.7        SRR11004261
150181    150232    3               380              1.2        SRR11004261
150233    150539    2               380              5.5        SRR11004261
158410    158459    3               380              3.9        SRR11004261
159743    160679    3               380              0.2        SRR11004261
166861    167880    3               380              2.1        SRR11004261
176340    176559    3               380              0.1        SRR11004261
222338    222425    3               380              1.3        SRR11004261
226005    226426    3               380              2.5        SRR11004261
226563    227406    3               380              12.8       SRR11004261
242426    242705    3               380              1.5        SRR11004261
245664    245805    3               380              4.6        SRR11004261
266357    266505    3               380              0.6        SRR11004261
287706    287727    2               380              1.5        SRR11004261
288470    289838    3               380              8.0        SRR11004261
301583    302167    3               380              3.2        SRR11004261
309548    309839    3               380              1.2        SRR11004261
320803    320916    3               380              0.1        SRR11004261
341139    341355    3               380              0.2        SRR11004261
341356    341898    2               380              5.4        SRR11004261
349900    350038    3               380              1.0        SRR11004261
351113    351199    3               380              1.3        SRR11004261
362779    363232    3               380              14.5       SRR11004261
378899    378940    3               380              4.7        SRR11004261
385861    385907    3               380              1.6        SRR11004261
407617    407868    3               380              0.8        SRR11004261
431022    431190    2               380              19.2       SRR11004261
441841    442278    3               380              3.5        SRR11004261
442530    442591    3               380              0.6        SRR11004261
457071    460044    2               380              1.3        SRR11004261
462687    462957    3               380              0.3        SRR11004261
463943    464071    3               380              3.3        SRR11004261
464644    465501    3               380              4.5        SRR11004261
478073    478139    3               380              0.3        SRR11004261
478429    479922    3               380              2.4        SRR11004261
486880    487238    2               380              2.5        SRR11004261
487309    487608    2               380              9.4        SRR11004261
496704    496972    3               380              1.8        SRR11004261
501236    501494    3               380              3.7        SRR11004261
513790    514693    3               380              2.7        SRR11004261
519422    519737    3               380              3.6        SRR11004261
526934    527015    3               380              1.6        SRR11004261
532911    534342    2               380              5.0        SRR11004261
534343    534748    3               380              9.1        SRR11004261
534749    538796    2               380              4.9        SRR11004261
545941    547251    3               380              8.9        SRR11004261
569477    569548    3               380              7.0        SRR11004261
575241    575557    3               380              2.1        SRR11004261
576053    576513    3               380              4.4        SRR11004261
591987    592294    3               380              0.9        SRR11004261
596180    597221    3               380              0.0        SRR11004261
623202    623251    3               380              1.4        SRR11004261
626939    627146    3               380              3.7        SRR11004261
645465    646543    2               380              20.4       SRR11004261
646544    646690    3               380              4.4        SRR11004261
667118    667347    3               380              1.4        SRR11004261
680806    680838    3               380              0.3        SRR11004261
694628    694755    3               380              1.4        SRR11004261
694756    694847    2               380              1.1        SRR11004261
702712    703084    3               380              3.6        SRR11004261
705487    705618    3               380              1.2        SRR11004261
725659    725728    3               380              0.2        SRR11004261
769530    770001    3               380              12.1       SRR11004261
778176    780435    2               380              0.4        SRR11004261
802552    802643    3               380              1.1        SRR11004261
807674    809527    2               380              1.5        SRR11004261
809948    810202    3               380              2.2        SRR11004261
819250    820044    3               380              3.2        SRR11004261
826279    829488    2               380              3.3        SRR11004261
837553    837628    3               380              1.9        SRR11004261
843998    844057    3               380              0.7        SRR11004261
892626    892838    3               380              1.9        SRR11004261
898525    898532    3               380              0.7        SRR11004261
904375    904407    3               380              0.3        SRR11004261
905993    906199    3               380              5.6        SRR11004261
907102    907427    3               380              0.5        SRR11004261
910505    911600    3               380              6.5        SRR11004261
925559    925810    3               380              0.8        SRR11004261
484513    485352    1               381              0.1        SRR11004262
923837    924852    1               381              1.4        SRR11004262
225221    225366    1               382              7.6        SRR11004263
225367    225463    3               382              2.2        SRR11004263
225464    225544    1               382              3.2        SRR11004263
484513    485352    1               382              0.1        SRR11004263
750142    750699    1               382              0.1        SRR11004263
225221    225366    1               383              7.6        SRR11004264
225367    225463    3               383              2.2        SRR11004264
225464    225544    1               383              3.2        SRR11004264
484513    485352    1               383              0.1        SRR11004264
750142    750699    1               383              0.1        SRR11004264
484513    485352    1               384              0.1        SRR11004265
923826    924852    1               384              1.5        SRR11004265
484513    485352    1               385              0.1        SRR11004266
923834    924852    1               385              1.4        SRR11004266
225221    225366    1               386              7.6        SRR11004267
225367    225463    3               386              2.2        SRR11004267
225464    225544    1               386              3.2        SRR11004267
484513    485352    1               386              0.1        SRR11004267
750142    750699    1               386              0.1        SRR11004267
62956     64121     1               388              2.5        SRR11004269
168664    169503    1               388              0.1        SRR11004269
338050    338561    1               388              3.2        SRR11004269
715303    715694    1               388              0.7        SRR11004269
718805    719642    1               388              8.9        SRR11004269
723373    725328    1               388              1.3        SRR11004269
874021    876287    1               388              10.8       SRR11004269
32300     33855     2               389              0.7        SRR11004270
217948    218977    2               389              0.2        SRR11004270
226168    226253    2               389              2.5        SRR11004270
310478    311283    2               389              1.5        SRR11004270
486802    487608    2               389              20.0       SRR11004270
645565    647038    2               389              24.7       SRR11004270
694373    694919    2               389              14.4       SRR11004270
707950    708336    2               389              1.1        SRR11004270
937389    938087    2               389              4.3        SRR11004270
62956     64121     1               390              2.5        SRR11004271
867614    867820    2               391              0.2        SRR11004272
30526     31765     2               392              4.4        SRR11004273
102964    104448    2               393              2.1        SRR11004274
390275    390541    2               393              10.0       SRR11004274
519508    519930    2               393              3.5        SRR11004274
768634    768693    3               393              10.1       SRR11004274
827463    828040    2               393              3.6        SRR11004274
905265    906647    2               393              20.4       SRR11004274
30519     31765     2               394              4.5        SRR11004275
237808    238162    2               394              5.1        SRR11004275
710060    727523    2               394              6.9        SRR11004275
918040    920511    2               394              13.7       SRR11004275
43311     43351     3               396              23.7       SRR11004277
750142    750699    1               396              0.0        SRR11004277
840956    841774    1               396              0.0        SRR11004277
217948    218977    2               397              0.2        SRR11004278
310478    311283    2               397              1.5        SRR11004278
486802    487271    2               397              4.0        SRR11004278
487272    487308    3               397              0.6        SRR11004278
487309    487608    2               397              12.8       SRR11004278
645565    647038    2               397              24.6       SRR11004278
30519     31765     2               399              4.4        SRR11004280
837234    837336    3               399              1.6        SRR11004280
886883    887487    2               399              1.7        SRR11004280
932827    933159    2               399              3.8        SRR11004280
484513    485352    1               400              0.1        SRR11004281
923834    924852    1               400              1.4        SRR11004281
484513    485352    1               401              0.1        SRR11004282
