Node	Beg	End
ERR4015000	1597835	1597886
ERR4015000	2298527	2298544
JB027	294387	295347
JB027	441353	441740
JB027	1145808	1146435
JB027	1535552	1535985
REF_Ss_troy_2014-0902	449644	450196
REF_Ss_troy_2014-0902	1145955	1146549
REF_Ss_troy_2014-0902	1437069	1437433
REF_Ss_troy_2014-0902	2251869	2254061
SNUC1141	185796	185911
SNUC1141	601626	601741
SNUC1141	1581825	1581873
SNUC1435	1903639	1903665
SNUC2042	332649	332684
SNUC2042	1322722	1322778
SNUC2373	890540	890603
SNUC2373	1068176	1068215
SNUC2834	1438448	1438548
SNUC3102	960467	960479
SNUC3312	99537	99682
SNUC3312	131029	132137
SNUC3312	294312	295674
SNUC3312	734138	734752
SNUC3312	1238042	1238535
SNUC5300	101487	102124
SNUC5300	154905	156405
SNUC5300	2251894	2252520
SNUC5479	160718	161018
SNUC5479	1661683	1661709
SNUC946	1249503	1249516
SNUC946	1483325	1483362
SNUC946	1741809	1741829
SNUC946	2360858	2360898
SRR11004154	101487	103274
SRR11004154	142319	143591
SRR11004154	168181	170928
SRR11004154	216858	217279
SRR11004155	217140	217304
SRR11004155	246027	246880
SRR11004155	891634	892549
SRR11004155	1145808	1146054
SRR11004155	1216523	1217410
SRR11004155	1870599	1871850
SRR11004155	2251869	2252520
SRR11004156	349138	349188
SRR11004156	466131	466137
SRR11004156	593582	593900
SRR11004156	2212793	2212897
SRR11004158	1016668	1016672
SRR11004161	154132	156405
SRR11004165	294312	295674
SRR11004165	890412	891997
SRR11004167	954395	954445
SRR11004170	954336	954372
SRR11004174	1390665	1390684
SRR11004174	1789533	1789600
SRR11004179	266550	266552
SRR11004187	1261228	1261312
SRR11004187	1866717	1868035
SRR11004188	1595872	1596260
SRR11004188	1702814	1703063
SRR11004188	2231630	2231993
SRR11004193	954431	954445
SRR11004194	2234221	2234224
SRR11004195	954439	954445
SRR11004196	1113720	1113833
SRR11004198	2234213	2234229
SRR11004202	2234228	2234244
SRR11004203	502614	502632
SRR11004204	124334	124971
SRR11004204	295065	295272
SRR11004204	512510	514444
SRR11004204	2247996	2248785
SRR11004205	946517	946715
SRR11004211	2234452	2234455
SRR11004212	1172645	1172653
SRR11004238	1388336	1388339
SRR11004239	101487	102124
SRR11004239	124334	126344
SRR11004239	1865983	1868008
SRR11004239	1878811	1880674
SRR11004239	2247996	2248785
SRR11004245	1238042	1238641
SRR11004258	773833	775198
SRR11004258	1238180	1238369
SRR11004261	211897	213442
SRR11004261	832396	835311
SRR11004261	872153	876316
SRR11004261	1206517	1209148
SRR11004261	1252857	1255394
SRR11004261	1294487	1304044
SRR11004261	1452174	1454536
SRR11004261	1620183	1620902
SRR11004261	1633636	1638051
SRR11004261	1878818	1880752
SRR11004261	1969937	1977292
SRR11004261	2017895	2033370
SRR11004261	2097004	2103199
SRR11004265	153442	156405
SRR11004265	1528434	1528649
SRR11004265	1865983	1868008
SRR11004269	628085	629440
SRR11004269	790264	790968
SRR11004269	972855	973663
SRR11004269	1336832	1337564
SRR11004269	1620515	1620902
SRR11004269	2017895	2018506
SRR11004269	2064904	2066845
SRR11004269	2155095	2155319
SRR11004269	2246525	2246942
SRR11004277	1273487	1274803
SRR11004279	441353	441500
SRR11004279	891934	891997
SRR11004279	1870599	1871850
SRR11004279	1976984	1977384
SRR11004299	1188382	1188425
SRR11004303	224379	224935
SRR11004303	295065	295674
SRR11004303	862281	862668
SRR11004303	891934	892478
SRR11004303	1145808	1146435
SRR11004303	1214934	1216707
SRR11004303	1535552	1536047
SRR11004303	1715964	1717050
SRR11004303	1791339	1792249
SRR11004303	2070341	2070593
SRR11004303	2366471	2367232
SRR11004305	294312	295674
SRR11004305	979886	979994
SRR11004305	1225697	1227040
SRR11004305	2321694	2322954
SRR11004309	637496	637757
SRR11004309	1225562	1227442
SRR11004309	1434252	1434493
SRR11004309	1495500	1495746
SRR11004309	2326830	2327583
SRR11004311	946517	946715
SRR11004316	131061	132137
SRR11004316	294345	295674
SRR11004316	449644	453688
SRR11004316	493916	494446
SRR11004316	512510	513098
SRR11004316	1145925	1146435
SRR11004316	1225562	1227040
SRR11004316	1303844	1304220
SRR11004316	1716312	1717047
SRR11004316	1865890	1871850
SRR11004316	2298526	2298545
SRR11004322	170581	170928
SRR11004322	1609520	1610042
SRR11004322	2069799	2070437
SRR11004330	1120228	1120251
SRR11004331	734264	734788
SRR11004331	1238180	1238432
SRR11004343	214961	217272
SRR11004343	891934	891997
SRR11004352	2003955	2004385
SRR11004365	1238363	1238585
SRR11004365	1534351	1535985
SRR11004365	2383691	2384569
SRR11004373	99619	102124
SRR11004373	170581	172303
SRR11004373	237410	240252
SRR11004373	1145808	1146549
SRR11004373	1238180	1238535
SRR11004373	1304021	1304229
SRR11004373	1765968	1766478
SRR11004373	2177176	2178100
SRR11004377	154132	156405
SRR11004377	891934	891970
SRR11004377	1528434	1528649
SRR11004377	1911023	1911833
SRR11004377	2070368	2070593
SRR11004377	2212499	2212898
SRR11004423	70700	71282
SRR11004423	1245739	1246662
SRR11004423	1765905	1766450
SRR11004423	2252134	2252520
SRR11004436	892060	892363
SRR11004436	1535552	1535985
SRR11004436	1624291	1624923
SRR11004441	734327	734670
SRR11004441	1238180	1238535
SRR11004441	1950923	1950974
SRR11004459	153442	160358
SRR11004459	281066	282239
SRR11004459	637496	637757
SRR11004459	875809	876112
SRR11004459	891934	892549
SRR11004459	1145808	1146415
SRR11004459	1864404	1868008
SRR11004459	2177563	2178100
SRR11004459	2252134	2252375
SRR11004459	2321694	2322954
SRR11004464	862359	862668
SRR11004464	891634	894620
SRR11004464	1145978	1146093
SRR11004473	153442	160358
SRR11004473	172026	172353
SRR11004473	246063	246880
SRR11004473	862359	863087
SRR11004473	1299926	1300631
SRR11004473	2257051	2259174
SRR11004474	168181	170928
SRR11004487	1435868	1435983
SRR11004488	440243	441740
SRR11004488	862281	862668
SRR11004488	1134261	1138168
SRR11004488	1145808	1146435
SRR11004488	1215158	1216816
SRR11004488	2252134	2252283
SRR11004492	99655	99835
SRR11004492	539335	539378
SRR11004492	1225562	1226779
SRR11004492	1702814	1703063
SRR11004500	695550	695737
SRR11004501	294345	295107
SRR11004501	449644	450196
SRR11004501	1041543	1041936
SRR11004501	1225771	1226798
SRR11004501	1261173	1261432
SRR11004508	294567	294687
SRR11004508	2298526	2298545
SRR11004510	353480	353522
SRR11004511	124334	126344
SRR11004511	2247996	2248785
SRR11004511	2298526	2298545
SRR11004523	99655	99835
SRR11004523	217008	217272
SRR11004523	441353	441740
SRR11004523	1225562	1226779
SRR11004523	1695577	1697303
SRR11004523	1880582	1880758
SRR11004524	996556	996895
SRR11004524	1494278	1495746
SRR11004524	2069407	2070374
SRR11004524	2326437	2327583
SRR11004525	2281715	2281723
SRR11004526	211915	213268
SRR11004526	244071	246106
SRR11004526	294345	295599
SRR11004526	302353	303284
SRR11004526	833698	840475
SRR11004526	891955	892387
SRR11004526	946517	946715
SRR11004526	1202860	1203055
SRR11004526	1237916	1238612
SRR11004526	1260973	1261312
SRR11004526	1535552	1535985
SRR11004526	1660344	1660576
SRR11004526	1919398	1919974
SRR11004526	2069407	2070221
SRR11004534	762114	762130
SRR11004536	101487	102124
SRR11004536	441353	441500
SRR11004536	1238294	1238585
SRR11004536	2128467	2128484
SRR11004537	1184372	1184396
SRR11004538	1238100	1238510
SRR11004539	2393137	2393277
SRR11004542	1870599	1871850
SRR11004543	29750	30960
SRR11004543	628091	629440
SRR11004543	1865890	1867795
SRR11004544	839730	840475
SRR11004552	142269	142297
SRR12762903	2252337	2252480
SRR13674889	1	7511
SRR13674889	159008	159680
SRR13674889	540526	541603
SRR13674889	820874	822734
SRR13674889	1003001	1005147
SRR13674889	1086911	1088093
SRR13674889	1123805	1126140
SRR13674889	1260981	1261429
SRR13674889	1298809	1301841
SRR13674889	1354112	1361796
SRR13674889	1381440	1383462
SRR13674889	1530972	1536251
SRR13674889	2230258	2234364
SRR13674889	2248074	2252264
SRR13674889	2324686	2329177
SRR16631590	168181	170928
SRR16631590	440243	441740
SRR16631590	862281	862668
SRR16631590	1145978	1146549
SRR16631590	1216449	1216983
SRR16631687	922356	922438
SRR16631687	2160415	2160568
SRR19995411	441388	441636
SRR19995411	449690	450196
SRR19995411	1225562	1226779
SRR19995411	1624291	1624923
SRR19995411	1657959	1659282
SRR19995411	2004235	2004687
SRR19995414	123203	126344
SRR19995414	493916	494116
SRR19995414	2248074	2248785
SRR19995414	2384000	2384569
SRR19995422	294387	295350
SRR19995422	1865983	1868042
SRR19995422	2152777	2155300
SRR20693367	568521	568860
SRR20693367	1238180	1238421
SRR4938469	449690	450196
SRR4938469	891634	892387
SRR4938469	1225562	1226779
SRR4938469	1238100	1238585
SRR4938469	1503123	1503488
SRR4938469	1595872	1596260
SRR4938469	1765905	1766450
SRR4938469	2231510	2231993
SRR4938469	2251869	2252520
SRR4938470	28695	28719
SRR4938470	996166	997063
SRR4938470	1145829	1146435
SRR4938470	1304021	1304229
SRR4938470	1716312	1716627
SRR4938470	1865983	1868042
SRR4938470	2004235	2004687
SRR4938472	946517	946715
SRR4938475	124334	126344
SRR4938475	1911423	1911761
SRR4938476	1748560	1748580
SRR5029746	1238231	1238585
SRR6265703	224623	224920
SRR6265703	294928	295599
SRR6265703	441359	441802
SRR6265703	806371	807099
SRR6265703	1003124	1003271
SRR6265703	1216621	1217238
SRR6265703	1988630	1988644
SRR9647826	1238231	1238585
ww3	1587878	1587928
NODE_648	281066	283407
NODE_648	1253081	1255506
NODE_648	1336832	1337737
NODE_648	1879724	1880758
NODE_651	1787926	1787950
NODE_653	281063	282239
NODE_653	875809	875869
NODE_653	891910	892387
NODE_653	1238180	1238657
NODE_653	1865983	1868008
NODE_653	2155136	2155246
NODE_653	2177176	2178100
NODE_653	2252134	2252375
NODE_655	154569	156405
NODE_655	294480	295347
NODE_655	1145859	1146527
NODE_655	1238368	1238657
NODE_655	1596289	1597884
NODE_655	1657989	1660612
NODE_655	1878811	1880674
NODE_655	2212499	2212898
NODE_656	281063	282239
NODE_656	875609	876292
NODE_656	891910	892387
NODE_656	1145978	1146093
NODE_656	1865983	1868008
NODE_656	1900335	1902205
NODE_656	2134027	2134816
NODE_656	2177176	2178100
NODE_656	2252134	2252375
NODE_658	2321705	2324045
NODE_658	2392651	2393277
NODE_659	441353	441740
NODE_659	1765968	1766408
NODE_660	223206	224935
NODE_660	350355	350892
NODE_660	1225562	1226779
NODE_660	1238357	1239721
NODE_660	1403427	1404711
NODE_660	1597386	1597884
NODE_660	1911254	1911545
NODE_660	2212499	2212898
NODE_661	99655	101255
NODE_661	293055	294900
NODE_661	400153	400680
NODE_661	1214992	1215194
NODE_661	1609482	1609853
NODE_662	637631	637757
NODE_663	350355	350892
NODE_663	2069407	2070593
NODE_668	100903	102124
NODE_668	449644	450202
NODE_668	1624483	1624923
NODE_668	1657959	1659096
NODE_668	1849607	1850358
NODE_671	1528434	1528649
NODE_672	172026	172353
NODE_672	450008	450196
NODE_672	1336832	1337737
NODE_672	1494276	1495756
NODE_672	1864404	1868140
NODE_672	2069407	2070119
NODE_672	2242493	2242628
NODE_672	2321705	2329048
NODE_673	172186	172313
NODE_673	294312	295674
NODE_673	450008	453666
NODE_673	618814	619508
NODE_673	979886	979994
NODE_673	1004963	1005663
NODE_673	1110125	1110453
NODE_673	1225697	1230379
NODE_673	1238510	1238657
NODE_673	1495500	1495756
NODE_673	1501376	1501831
NODE_673	2322601	2327583
NODE_674	168181	170928
NODE_674	294312	295167
NODE_674	1878811	1880674
NODE_675	99363	99835
NODE_676	170581	170928
NODE_688	1950923	1950974
NODE_688	2103031	2103073
NODE_690	1958714	1959127
NODE_693	131493	132158
NODE_693	155011	156405
NODE_693	899742	899996
NODE_693	1494278	1495746
NODE_693	1524818	1528649
NODE_693	2069407	2070593
NODE_693	2321494	2327583
NODE_694	281063	282191
NODE_694	441353	441732
NODE_694	493834	494633
NODE_694	564606	564848
NODE_694	736097	736328
NODE_694	891730	892052
NODE_694	896094	896412
NODE_694	1214934	1215194
NODE_694	1294502	1296742
NODE_694	1317250	1317340
NODE_694	1366688	1367067
NODE_694	1694884	1698419
NODE_694	1716351	1717050
NODE_694	1878811	1880803
NODE_694	2177176	2177836
NODE_694	2212532	2214235
NODE_694	2219298	2219625
NODE_694	2231436	2234436
NODE_694	2262424	2263034
NODE_695	1253081	1256706
NODE_695	1434252	1434493
NODE_696	687130	687558
NODE_696	1145982	1146549
NODE_696	1336832	1337564
NODE_696	1870599	1871850
NODE_696	2366844	2367155
NODE_697	734327	734670
NODE_697	1004994	1005663
NODE_697	1160126	1161854
NODE_697	1938955	1939164
NODE_698	637496	637757
NODE_698	1041543	1041936
NODE_698	1995206	1996895
NODE_698	2384000	2384569
NODE_699	203237	203510
NODE_699	1901274	1901514
NODE_699	2082741	2083257
NODE_704	216885	217242
NODE_704	281066	282239
NODE_704	441694	441740
NODE_704	637496	637757
NODE_704	875809	876112
NODE_704	891934	892387
NODE_704	1434427	1434537
NODE_704	2252210	2252375
NODE_721	2321694	2324870
NODE_723	504838	504865
NODE_723	575260	576112
NODE_723	1101226	1101757
NODE_723	1519388	1519421
NODE_727	142292	142909
NODE_734	441353	441740
NODE_735	159380	160358
NODE_735	891910	892463
NODE_735	1863774	1868008
NODE_735	1878811	1880758
NODE_742	197254	198584
NODE_742	237720	238100
NODE_742	862281	863087
NODE_742	1145808	1146093
NODE_742	2366840	2367155
NODE_747	154905	156405
NODE_747	2184680	2185100
NODE_748	142341	145225
NODE_752	197254	198584
NODE_752	237410	238650
NODE_752	281063	282239
NODE_752	441359	441740
NODE_752	875542	876112
NODE_752	891659	892387
NODE_752	1004963	1005528
NODE_752	1216523	1216983
NODE_752	1629881	1630718
NODE_752	2177176	2178100
NODE_752	2251894	2252520
NODE_753	1303844	1304099
NODE_753	1958714	1959157
NODE_754	1472446	1472452
NODE_755	1381065	1381421
NODE_755	1660344	1660612
NODE_756	99363	99835
NODE_756	1702568	1703285
NODE_757	1702814	1703828
NODE_757	1900335	1902205
NODE_759	2305709	2306981
NODE_760	244775	246880
NODE_760	441353	441694
NODE_760	1216449	1217223
NODE_760	1495500	1495746
NODE_760	2326437	2327583
NODE_761	246063	246880
NODE_761	1225562	1227442
NODE_761	1336832	1337564
NODE_762	99363	99835
NODE_762	153442	160358
NODE_762	732508	734670
NODE_762	891659	891997
NODE_762	1900335	1902205
NODE_763	168181	170928
NODE_763	1336832	1337564
NODE_773	1494278	1495746
NODE_773	1503125	1503408
NODE_773	1528434	1528649
NODE_773	2177176	2178100
NODE_773	2252134	2252283
NODE_773	2326437	2327583
NODE_781	1495500	1495756
NODE_781	2155241	2155246
NODE_781	2326437	2327583
NODE_782	153442	160358
NODE_792	862281	862668
NODE_823	441353	441694
NODE_823	1145978	1146110
NODE_823	1216449	1216983
NODE_823	1702814	1703285
NODE_823	2230333	2232607
NODE_823	2252243	2252520
NODE_849	1528434	1528649
NODE_849	1720118	1722074
NODE_849	2069407	2070119
NODE_852	2321705	2322954
NODE_856	552602	552917
NODE_856	773833	775198
NODE_856	935292	936996
NODE_856	1721628	1722175
NODE_856	1950923	1950974
NODE_859	1238180	1238369
NODE_859	1336340	1337564
NODE_862	154132	160358
NODE_862	568521	571165
NODE_862	1145808	1146435
NODE_867	1238294	1238585
NODE_869	217155	217272
NODE_869	294387	295350
NODE_869	492342	494446
NODE_869	1215158	1215194
NODE_869	1702688	1703285
NODE_869	2231630	2232607
NODE_879	564756	568860
NODE_879	767925	772228
NODE_879	1238169	1238657
NODE_879	1609544	1610042
NODE_879	1864443	1868008
NODE_880	1336112	1337564
NODE_887	734327	734670
NODE_887	1238180	1238369
NODE_887	1958714	1959127
NODE_887	2321373	2322356
NODE_888	197254	198584
NODE_888	1087178	1087935
NODE_889	99363	99835
NODE_889	237410	238100
NODE_889	281063	282239
NODE_889	875809	876112
NODE_889	891659	892387
NODE_889	1004963	1005663
NODE_889	1216523	1216983
NODE_889	1238510	1238657
NODE_889	1629881	1630718
NODE_889	1900335	1902205
NODE_889	2177176	2178100
NODE_889	2252134	2252375
NODE_892	954398	954445
NODE_904	96538	101444
NODE_904	403819	403823
NODE_904	682222	682954
NODE_905	5734	7179
NODE_905	1950923	1950974
NODE_905	2251894	2252520
NODE_906	1238180	1238369
NODE_908	1849607	1850358
NODE_908	1865983	1868042
NODE_908	2252134	2252520
NODE_929	891659	892033
NODE_929	1215158	1215194
NODE_929	1633626	1634359
NODE_929	1936896	1939164
NODE_929	2256772	2257661
NODE_930	172026	172353
NODE_930	450008	450196
NODE_930	637496	637757
NODE_930	1004963	1005663
NODE_930	1145978	1146415
NODE_930	1225697	1227040
NODE_930	1495500	1495756
NODE_930	2321373	2327583
NODE_932	862281	862668
NODE_932	1245854	1246662
NODE_932	1657959	1659096
NODE_932	1949013	1949389
NODE_933	441734	441740
NODE_934	153442	160358
NODE_935	2144188	2144192
NODE_936	2155241	2155245
NODE_938	335266	335316
NODE_938	1123337	1124063
NODE_938	2382118	2384233
NODE_940	891934	891997
NODE_940	1494278	1495746
NODE_940	1864404	1868008
NODE_940	2321908	2327583
NODE_946	602269	602656
NODE_946	929453	929840
NODE_948	2069407	2070221
NODE_948	2129594	2131094
NODE_949	295065	295347
NODE_949	1238231	1238585
NODE_950	246027	246880
NODE_950	1865983	1868046
NODE_950	2048409	2049021
NODE_950	2177176	2178115
NODE_951	1336463	1337564
NODE_952	1238042	1238510
NODE_952	2177352	2178115
NODE_952	2231436	2232425
NODE_953	29750	30960
NODE_953	1253106	1254802
NODE_953	1790728	1791849
NODE_953	2183353	2183436
NODE_954	771666	772228
NODE_975	99655	99835
NODE_975	1419671	1420013
NODE_975	1865983	1868042
NODE_978	1238091	1238657
NODE_983	504838	504865
NODE_983	857799	858463
NODE_983	1078128	1078200
NODE_983	1519394	1519421
NODE_983	1579929	1580297
NODE_983	1702814	1703828
NODE_983	1865983	1868042
NODE_983	1950923	1950974
NODE_985	441353	441694
NODE_985	1216449	1216983
NODE_1007	294345	295107
NODE_1007	493919	494446
NODE_1007	2298526	2298545
NODE_1017	294345	295674
NODE_1017	441441	441636
NODE_1017	637496	637757
NODE_1017	862359	863087
NODE_1017	891634	892549
NODE_1017	1238042	1238585
NODE_1017	1535552	1535985
NODE_1017	1597428	1597886
NODE_1017	1633626	1633902
NODE_1017	1716312	1717047
NODE_1017	2004235	2004687
NODE_1017	2217575	2219622
NODE_1020	512596	512904
NODE_1020	861206	862632
NODE_1021	1528434	1528649
NODE_1021	2070368	2070593
NODE_1022	493916	494446
NODE_1022	862560	862830
NODE_1022	1137765	1138012
NODE_1022	1216449	1216767
NODE_1022	1503123	1503242
NODE_1022	1804768	1807624
NODE_1022	2247996	2248785
NODE_1023	1216523	1216983
NODE_1023	1702814	1703285
NODE_1026	395491	395502
NODE_1028	100903	102124
NODE_1028	891934	891997
NODE_1028	1253106	1255506
NODE_1028	1657959	1659096
NODE_1031	101487	102124
NODE_1031	237410	238100
NODE_1031	294345	295674
NODE_1031	449644	450196
NODE_1031	891634	892549
NODE_1031	1087097	1087935
NODE_1031	1145808	1146054
NODE_1031	1214891	1215194
NODE_1031	1225562	1227040
NODE_1031	1238180	1238657
NODE_1031	1503123	1503488
NODE_1031	1595872	1596260
NODE_1031	1633626	1633902
NODE_1031	2231630	2233921
NODE_1031	2252134	2252520
NODE_1031	2271120	2273062
NODE_1031	2321373	2322627
NODE_1032	246348	246880
NODE_1032	441353	441740
NODE_1032	1216449	1216626
NODE_1040	246348	246880
NODE_1040	1878811	1880758
NODE_1041	1303844	1304220
NODE_1045	439759	441740
NODE_1045	1145855	1146600
NODE_1045	1216449	1216983
NODE_1048	1923089	1923099
NODE_1049	441441	441735
NODE_1049	449644	450196
NODE_1049	493916	494446
NODE_1049	862359	862668
NODE_1049	1225562	1226779
NODE_1049	1595872	1596260
NODE_1049	1766084	1766450
NODE_1049	2004290	2004687
NODE_1049	2177176	2177939
NODE_1049	2298526	2298545
NODE_1050	100903	102124
NODE_1050	568521	568860
NODE_1050	1633626	1634359
NODE_1050	1765968	1766408
NODE_1052	512510	514444
NODE_1052	1866259	1871708
NODE_1054	1245739	1246662
NODE_1054	1715946	1716825
NODE_1054	1865983	1868042
NODE_1054	2069407	2070221
NODE_1054	2231568	2231993
NODE_1054	2251894	2252520
NODE_1054	2298526	2298545
NODE_1055	1101226	1101757
NODE_1055	1880582	1880758
NODE_1055	2069407	2070221
NODE_1056	101487	102124
NODE_1056	217002	217272
NODE_1056	294345	295674
NODE_1056	492348	494446
NODE_1056	540601	541620
NODE_1056	891829	891970
NODE_1056	1003124	1003684
NODE_1056	1041543	1043438
NODE_1056	1110110	1110376
NODE_1056	1145940	1146549
NODE_1056	1657959	1660338
NODE_1056	1870451	1871850
NODE_1056	2248530	2248785
NODE_1056	2321373	2322627
NODE_1057	1004963	1005663
NODE_1057	1145978	1146549
NODE_1057	1864404	1867723
NODE_1064	1702814	1703285
NODE_1077	494407	494620
NODE_1077	957906	957944
NODE_1078	839730	840075
NODE_1078	1879262	1880758
NODE_1079	294345	295674
NODE_1079	628085	628187
NODE_1079	891955	892549
NODE_1079	1535552	1535985
NODE_1079	1633626	1633902
NODE_1079	1702814	1703063
NODE_1080	397833	398765
NODE_1080	1702814	1703063
NODE_1081	1434252	1434493
NODE_1081	1865983	1868008
NODE_1084	1901274	1901514
NODE_1084	2252147	2252520
NODE_1085	1317250	1317340
NODE_1085	1503123	1503408
NODE_1086	29750	30960
NODE_1086	1695577	1695812
NODE_1086	1790728	1791849
NODE_1086	1878811	1880674
NODE_1087	441353	441740
NODE_1087	1695577	1697303
NODE_1087	1803597	1805413
NODE_1087	1880582	1880758
NODE_1089	891634	892549
NODE_1089	1202860	1203563
NODE_1089	1238363	1238585
NODE_1089	1245739	1247866
NODE_1089	1624291	1624923
NODE_1090	891634	892387
NODE_1090	1304021	1304229
NODE_1090	2251869	2252520
NODE_1091	131061	132137
NODE_1091	440199	441740
NODE_1091	540601	541620
NODE_1091	637496	637757
NODE_1091	860525	862524
NODE_1091	1003124	1003684
NODE_1091	1041543	1041936
NODE_1091	1215158	1215194
NODE_1091	1716312	1716781
NODE_1091	1958714	1960033
NODE_1091	2321373	2322667
NODE_1092	154132	156405
NODE_1093	29750	30960
NODE_1093	628085	628187
NODE_1093	891634	892549
NODE_1093	1866616	1867795
NODE_1095	862359	862668
NODE_1095	1238231	1238585
NODE_1095	1261228	1261312
NODE_1095	2004235	2004687
NODE_1096	1866259	1868042
NODE_1097	441353	441500
NODE_1097	1041543	1041936
NODE_1097	1215158	1217104
NODE_1097	1238042	1238426
NODE_1097	2231630	2232607
NODE_1099	142269	142662
NODE_1099	1624291	1624923
NODE_1100	862281	862668
NODE_1100	1727304	1727442
NODE_1101	154132	156405
NODE_1101	628085	629247
NODE_1102	1058872	1060970
NODE_1103	294414	295350
NODE_1103	441441	441636
NODE_1103	540601	541620
NODE_1103	1003124	1003409
NODE_1103	1110110	1110376
NODE_1103	1145978	1146549
NODE_1103	1303844	1305302
NODE_1103	1973845	1973860
NODE_1103	2248074	2252520
NODE_1104	353480	353522
NODE_1105	1977183	1977384
NODE_1112	2384000	2384233
NODE_1118	1923089	1923099
NODE_1120	123203	124974
NODE_1120	540601	541620
NODE_1120	1003124	1003684
NODE_1120	1303844	1305302
NODE_1121	349173	349186
NODE_1121	1789590	1789598
NODE_1142	1881954	1882550
NODE_1143	891955	892549
NODE_1143	1245739	1246662
NODE_1143	1534351	1535985
NODE_1143	2193381	2193495
NODE_1147	295065	295446
NODE_1147	1238042	1238585
NODE_1147	1633626	1633902
NODE_1186	862281	862632
NODE_1212	2384000	2384569
NODE_1214	502454	502507
NODE_1216	996166	998570
NODE_1216	1101226	1101757
NODE_1225	124357	124971
NODE_1225	217155	217272
NODE_1225	2248074	2248785
NODE_1226	891955	892387
NODE_1226	1226131	1227022
NODE_1226	1535552	1535985
NODE_1226	1702688	1703285
NODE_1229	142269	142662
NODE_1229	217008	217272
NODE_1229	246027	246880
NODE_1229	1087097	1087247
NODE_1229	1137787	1138168
NODE_1229	1624291	1624877
NODE_1229	2134027	2134816
NODE_1231	628085	628187
NODE_1231	2069407	2070119
NODE_1232	892060	892363
NODE_1232	1870599	1871708
NODE_1234	99619	99835
NODE_1234	170581	170928
NODE_1234	224379	224935
NODE_1235	512510	513098
NODE_1235	2128467	2128486
NODE_1236	170581	172303
NODE_1236	216858	217272
NODE_1236	224379	224935
NODE_1236	2070341	2070593
NODE_1237	2252134	2252283
NODE_1239	1	1609
NODE_1239	172267	172393
NODE_1239	294933	295674
NODE_1239	449690	450196
NODE_1239	1922758	1923099
NODE_1239	2252134	2252283
NODE_1239	2326830	2327025
NODE_1240	217008	217272
NODE_1240	1238231	1238585
NODE_1240	1535552	1535696
NODE_1241	2298526	2298545
NODE_1242	70781	71282
NODE_1242	217155	217272
NODE_1242	449644	450196
NODE_1242	1225562	1226779
NODE_1243	70700	71282
NODE_1243	449644	453688
NODE_1243	1225562	1226779
NODE_1243	1238231	1238510
NODE_1243	1595872	1596260
NODE_1243	2298526	2298545
NODE_1244	449690	450196
NODE_1244	1137765	1138168
NODE_1244	1226131	1226779
NODE_1244	1238231	1238585
NODE_1244	1303844	1305299
